source,width,height,format,sizeBytes,usedBy,aboveFold,webpPath,webpSize,avifPath,avifSize,savingPercent,status,role,webpVariants,avifVariants,webpQuality,avifQuality,psnrWebp,psnrAvif,budget,note
apps/marketing/public/images/products/promo-page-design/promo-page-examples-a-final.png,1448,1086,png,2201276,/products/promo-page-design,no,/images/products/promo-page-design/promo-page-examples-a-final.webp,184908,/images/products/promo-page-design/promo-page-examples-a-final.avif,169549,92.3,optimized,card,640w:57488 1080w:124886 1448w:184908,640w:53746 1080w:115415 1448w:169549,80,71,35.71,34.57,OK thumbnail 640w WebP 56.1 KB/120.0 KB; OK card 1080w WebP 122.0 KB/200.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/promo-page-design/promo-page-examples-b-final.png,1672,941,png,1852439,/ /products/promo-page-design,no,/images/products/promo-page-design/promo-page-examples-b-final.webp,119264,/images/products/promo-page-design/promo-page-examples-b-final.avif,69467,96.2,optimized,card,640w:30334 1080w:65848 1672w:119264,640w:17753 1080w:38373 1672w:69467,80,55,37.67,35.82,OK thumbnail 640w WebP 29.6 KB/120.0 KB; OK card 1080w WebP 64.3 KB/200.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/seo-article-generator/seo-article-generator-hero-final.png,1672,941,png,1575063,/ /products /products/seo-article-generator,yes (/products/seo-article-generator),/images/products/seo-article-generator/seo-article-generator-hero-final.webp,99478,/images/products/seo-article-generator/seo-article-generator-hero-final.avif,54687,96.5,optimized,hero,640w:26256 1080w:56018 1672w:99478,640w:14717 1080w:31386 1672w:54687,80,55,38.87,37.58,OK thumbnail 640w WebP 25.6 KB/120.0 KB; OK hero 原尺寸 WebP 97.1 KB/350.0 KB; OK hero 原尺寸 AVIF 53.4 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/seo-website/seo-website-hero-final.png,1672,941,png,1949109,/ /products /products/seo-website,yes (/products/seo-website),/images/products/seo-website/seo-website-hero-final.webp,107716,/images/products/seo-website/seo-website-hero-final.avif,69007,96.5,optimized,hero,640w:26338 1080w:57378 1672w:107716,640w:15536 1080w:35577 1672w:69007,80,55,38.62,38.09,OK thumbnail 640w WebP 25.7 KB/120.0 KB; OK hero 原尺寸 WebP 105.2 KB/350.0 KB; OK hero 原尺寸 AVIF 67.4 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/templates/template-showcase-devices-final.png,1672,941,png,1722623,/ /products,yes (/products),/images/templates/template-showcase-devices-final.webp,77692,/images/templates/template-showcase-devices-final.avif,51179,97.0,optimized,hero,640w:20066 1080w:43178 1672w:77692,640w:12600 1080w:27213 1672w:51179,80,55,39.81,38.99,OK thumbnail 640w WebP 19.6 KB/120.0 KB; OK hero 原尺寸 WebP 75.9 KB/350.0 KB; OK hero 原尺寸 AVIF 50.0 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/ui-mockups/admin-dashboard-seo-score-final.png,1672,941,png,1660178,/checkout /products/seo-article-generator,yes (/checkout),/images/ui-mockups/admin-dashboard-seo-score-final.webp,79680,/images/ui-mockups/admin-dashboard-seo-score-final.avif,49498,97.0,optimized,hero,640w:21886 1080w:44810 1672w:79680,640w:12733 1080w:27394 1672w:49498,80,55,39.97,39.27,OK thumbnail 640w WebP 21.4 KB/120.0 KB; OK hero 原尺寸 WebP 77.8 KB/350.0 KB; OK hero 原尺寸 AVIF 48.3 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/og/about-og-1200x630.png,1200,630,png,156052,/about,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 152.4 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/blog-og-1200x630.png,1200,630,png,148044,/blog /blog/brand-site-structure /blog/custom-domain-dns /blog/new-site-seo-first-3-months,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 144.6 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/cases-og-1200x630.png,1200,630,png,176602,/cases /cases/booking-event-pages /cases/brand-ecommerce-site /cases/hungjui-brand-site /cases/sample-course-landing /cases/sample-festival-dm /cases/sample-lodging-site /cases/sample-select-shop /cases/seo-article-generator,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 172.5 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/contact-og-1200x630.png,1200,630,png,143366,/contact,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 140.0 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/default-og-1200x630.png,1200,630,png,107977,/checkout /legal/privacy /legal/terms /search,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 105.4 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/ecommerce-website-og-1200x630.png,1200,630,png,140871,/products/ecommerce-website,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 137.6 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/home-og-1200x630.png,1200,630,png,154377,/,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 150.8 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/landing-page-og-1200x630.png,1200,630,png,161960,/products/landing-page /products/landing-page/booking-form /products/landing-page/course-enrollment /products/landing-page/event-registration /products/landing-page/group-buy-promo,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 158.2 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/products-og-1200x630.png,1200,630,png,140286,/products,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 137.0 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/promo-page-design-og-1200x630.png,1200,630,png,140589,/products/promo-page-design,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 137.3 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/seo-article-generator-og-1200x630.png,1200,630,png,146371,/products/seo-article-generator,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 142.9 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/seo-website-og-1200x630.png,1200,630,png,151322,/products/seo-website,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 147.8 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
apps/marketing/public/images/og/solutions-og-1200x630.png,1200,630,png,141137,/solutions,no (og:image),,,,,,og-image,og,,,,,,,OK og PNG 137.8 KB/300.0 KB,社群分享圖維持 PNG（社群平台對 WebP / AVIF 支援不一致）
